timestamp,backlog,processed,arrival_rate,desired_workers,current_workers
1747573622.55,0,0,200,2,2
1747573624.57,0,0,200,2,2
1747573626.58,0,0,200,2,2
1747573628.59,0,0,200,2,2
1747573630.61,0,0,200,2,2
1747573632.63,0,0,200,2,2
1747573634.65,0,0,200,2,2
1747573636.67,5173,0,200,23,23
1747573638.84,5173,0,200,23,23
1747573640.87,5173,0,200,23,23
1747573642.92,8618,0,200,37,37
1747573645.21,8618,0,200,37,37
1747573647.26,8408,0,200,36,36
1747573649.31,8408,0,200,36,36
1747573651.38,8408,0,200,36,36
1747573653.41,7187,0,200,31,31
1747573655.47,7187,0,200,31,31
1747573657.62,6501,0,200,28,28
1747573659.67,6501,0,200,28,28
1747573661.72,5492,0,200,24,24
1747573663.79,5492,0,200,24,24
1747573665.86,5492,0,200,24,24
1747573667.87,4810,0,200,21,21
1747573669.93,4810,0,200,21,21
1747573671.96,4460,0,200,20,20
1747573674.0,4460,0,200,20,20
1747573676.04,4460,0,200,20,20
1747573678.07,5090,0,200,22,22
1747573680.11,5090,0,200,22,22
1747573682.15,5590,0,200,24,24
1747573684.26,5590,0,200,24,24
1747573686.3,5590,0,200,24,24
1747573688.34,5108,0,200,23,23
1747573690.36,5108,0,200,23,23
1747573692.36,2166,0,200,11,11
1747573694.38,2166,0,200,11,11
1747573696.39,2166,0,200,11,11
1747573698.4,0,0,200,2,2
1747573700.42,0,0,200,2,2
1747573702.43,0,0,200,2,2
1747573704.44,0,0,200,2,2
1747573706.45,0,0,200,2,2
1747573708.46,0,0,200,2,2
1747573710.47,0,0,200,2,2
